video_id,time,author,text
P9i0WWOhVRg,3 tygodnie temu,@3hoodgoods,Tadeusz Sznuk na PREZYDENTA! 😂
hDemaLdJbr4,2 tygodnie temu,@barbarabromirska8238,Co Hołownia robi w polityce???????????!??.?????????????????????¿??????????
XA85sfEWnXo,4 dni temu,@kodi-78,Siur
KiTg4fAf_zQ,1 miesiąc temu,@janina3827,Nawrocki nie dorosłas  do pięt Trzaskoskmu😅😅😅😅😅
hDemaLdJbr4,2 tygodnie temu,@tomrocochel1445,Jego Zajebistość Rafał IV Fajny😆
hK8lGMkQKZk,4 dni temu,@robertkrawczak7105," @aleksanderkarch2620  chyba coś Ci się pomyliło, przecież Mentzen jest stabilny w poglądach, a Hołownia wiecznie zmienia"
nrndqzixNvw,2 dni temu,@LukianHeretyk,Ja również ;)
50iuwe-3GTA,3 dni temu,@HenrykFryc,100/100
vKShTQAk8IE,2 miesiące temu,@MxAxRxCxIxNxO,Nie zniechęcicie mnie kłamstwami do konfederacji...
D-LSi_fUaK0,2 tygodnie temu,@blazkovitzR,"No tak, chwalicie Mentzena, bo on teraz na usługach PiSu, a wy i PiS to 😍"
-JH9onEuq9M,6 dni temu,@kotWbutach639,"Mamy ciebie ,podwyzki ktorych nic nie przebije,​ @Route5Manager "
KiTg4fAf_zQ,1 miesiąc temu,@ukasz263,Rafał stchórzył żeby pójść do republiki Nawrocki nie stchórzył żeby pójść do TVP dla mnie wygrany jest w tym starciu Nawrocki
7QAFj0G2N34,5 dni temu,@Ferdek.Kiepski,"Jaki by nie był dobry, zły, neutralny.....skoro jest w grze powinien mieć takie same prawa jak inni kandydaci"
Vx5_YGvyhgY,3 tygodnie temu,@luki-ui1ku,"Powiedz ile kasy ""zarobiłeś""  od Orlenu i Anwilu za rządów PIS?"
2K0MIRUzPwI,2 tygodnie temu (edytowany),@thomasmusicset,"KPO nie jest pożyczką, bo jest już samo w sobie opłacone z podatków z całej Europy. Unia Europejska nie daje  nikomu pieniędzy na kredyt."
sTLFTbobcQw,2 dni temu,@300miles,"Trzaskowski wydaje się być nie poczytalny, proszę spojrzeć na agresywną mowę ciała i treści które wypowiada ! Proszę się temu przyjrzeć to nie jest normalne"
-zVa1ibe11c,4 tygodnie temu,@romantyk49," @piotrjaworski423  rozumiem że oficerowie prowadzący innych z CIA ,BND czy Mosadu to spoko a zdrówko służy."
bvlzQvdgqLU,2 dni temu,@pawepys7494,"Człowieku skup się na sprawach ważnych. Naprawde nie widzisz, że sprawa aborcji była tylko po to aby nas podzielić?? Jakiej części społeczeństwa ona dotyczy? 0,01%?? A wiesz, że są kwestie które dotykają 100% nas?? SŁUŻBA ZDROWIA chociażby (5-10% najbogatszych ma to w upie więc nie 100, ale rozumiesz - tak)"
Z89Qq74Fs00,1 miesiąc temu,@sylwiamakiela8976,Nie ogladam Republiki ale pięknie ich rozegrali .
HU_tOLI2Hvc,3 dni temu,@gallanonim706,Deep State i te sprawy...
Bo_BY3jPsSY,2 tygodnie temu,@BAH_YT,Tak. Był taki łachudra co na cmentarzach widział plusy.
zeyvbvBSD2I,1 miesiąc temu,@gregciu1,"Przeciętny pisowiec nie przeczyta nawet jednego zdania z Twojego postu, a nawet jeśli, to i tak nie zrozumie. Do nich dociera tylko ""óne dajo""."
-JH9onEuq9M,6 dni temu,@zenonfabianowicz8700,W punkt
vQD_ym0qbWo,4 tygodnie temu,@JaJa-z1t1v,"@ ale powinien to potraktować jako szansę na dotarcie do nowych wyborców, a nie jako zagrożenie."
zYMLdtQoGNU,1 miesiąc temu,@jolantadropik299,"😂😂😂😂😂😂
Co za PAJAC !!!!"
acqYOuWJ2XE,3 dni temu,@pawellewandowski2888,Brawo Mentzen ❤
ndNaCDxoRdo,1 miesiąc temu,@piotrlewandowski3726,https://www.youtube.com/shorts/dr90Tqkdn1I
